"EAN","IMG","Price","_type","name"
"4010355300201","https://cdn02.dm-static.com/images/mediacatalog/h4010355300201-1138492/productimage_170x260/1507281032000/4010355300201-1138492_org.png","0,75 €","DmBotItem","Sanfte Reinigungsmilch"
"4010355140364","https://cdn02.dm-static.com/images/mediacatalog/h4010355140364-1228703/productimage_170x260/1507189823000/4010355140364-1228703_org.png","1,95 €","DmBotItem","Fußcreme Hirschtalg "
"4010355294821","https://cdn02.dm-static.com/images/mediacatalog/h4010355294821-1228715/productimage_170x260/1507718960000/4010355294821-1228715_org.png","1,45 €","DmBotItem","Fuß- & Schuhdeo Lovely"
"4010355340610","https://cdn02.dm-static.com/images/mediacatalog/h4010355340610-1138489/productimage_170x260/1507286427000/4010355340610-1138489_org.png","0,75 €","DmBotItem","Pflegendes Gesichtswasser"
"4010355340597","https://cdn02.dm-static.com/images/mediacatalog/h4010355340597-1138491/productimage_170x260/1507286439000/4010355340597-1138491_org.png","0,75 €","DmBotItem","Erfrischendes Gesichtswasser"
"4010355346582","https://cdn02.dm-static.com/images/mediacatalog/h4010355346582-1234894/productimage_170x260/1508235151000/4010355346582-1234894_org.png","1,95 €","DmBotItem","Körpercreme Kirschblüte & Weißer Tee"
"4010355370013","https://cdn02.dm-static.com/images/mediacatalog/h4010355370013-1245714/productimage_170x260/1507286408000/4010355370013-1245714_org.png","3,95 €","DmBotItem","VITAL 5in1 Anti-Müdigkeits Augencreme"
"4010355341679","https://cdn02.dm-static.com/images/mediacatalog/h4010355341679-1261013/productimage_170x260/1508171245000/4010355341679-1261013_org.png","2,95 €","DmBotItem","Professional Haaröl Oil Repair Intensiv "
"4010355341495","https://cdn02.dm-static.com/images/mediacatalog/h4010355341495-1287262/productimage_170x260/1507284032000/4010355341495-1287262_org.png","0,55 €","DmBotItem","Deo Roll-on Paradiesblüten @"
"4010355346629","https://cdn02.dm-static.com/images/mediacatalog/h4010355346629-1282781/productimage_170x260/1509355072000/4010355346629-1282781_org.png","1,95 €","DmBotItem","Bodycreme Sheabutter Bodycreme"
